t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
48,8.881784197001253e-18,9.154737091457892e-18,-2.0157313781685583e-18,0.0,2.609100071065499e-17,0.0,6.408315964020524e-18,5.8581871297484154e-18,-7.703719777548943e-34,0.0,0.0,7.703719777548943e-34
49,4.440892098500626e-18,4.577368545524318e-18,-1.0078656891519465e-18,0.0,1.3045500354744305e-17,0.0,3.204157981867022e-18,2.9290935647727066e-18,0.0,0.0,0.0,9.62964972193618e-35
50,2.220446049250313e-18,2.2886842725643085e-18,-5.039328446673076e-19,0.0,6.5227501768082785e-18,0.0,1.6020789907950159e-18,1.4645467822493517e-18,0.0,0.0,0.0,1.4444474582904269e-34
51,1.1102230246251566e-18,1.144342136099319e-18,-2.519664224481324e-19,0.0,3.2613750878830585e-18,0.0,8.010394952695233e-19,7.322733909529579e-19,0.0,0.0,0.0,0.0
52,5.551115123125783e-19,5.721710678905226e-19,-1.2598321136023663e-19,0.0,1.6306875434879891e-18,0.0,4.005197475233658e-19,3.6613669527222335e-19,4.81482486096809e-35,0.0,0.0,0.0
53,2.7755575615628914e-19,2.8608553381868176e-19,-6.299160583553787e-20,0.0,8.153437713832429e-19,0.0,2.0025987367307721e-19,1.8306834740298235e-19,-2.407412430484045e-35,0.0,0.0,0.0
54,1.3877787807814457e-19,1.4304276682404332e-19,-3.149580308897533e-20,0.0,4.076718854485234e-19,0.0,1.0012993677683031e-19,9.153417344468158e-20,-1.2037062152420224e-35,0.0,0.0,6.018531076210112e-36
55,6.938893903907229e-20,7.152138337625313e-20,-1.574790172700372e-20,0.0,2.038359426223214e-19,0.0,5.006496836337719e-20,4.5767086448566705e-20,-6.018531076210112e-36,0.0,0.0,-3.009265538105056e-36
56,3.469446951953614e-20,3.576069170928939e-20,-7.873951051878912e-21,0.0,1.0191797137147474e-19,0.0,2.503248419650257e-20,2.2883542941717775e-20,3.009265538105056e-36,0.0,0.0,1.504632769052528e-36
57,1.734723475976807e-20,1.7880345938915956e-20,-3.9369757138423715e-21,0.0,5.0958985925910466e-20,0.0,1.2516242157241168e-20,1.1441771189004514e-20,0.0,0.0,0.0,-3.76158192263132e-37
58,8.673617379884036e-21,8.940173121408232e-21,-1.9684880372570715e-21,0.0,2.5479493396013458e-20,0.0,6.258121184985762e-21,5.720885323998428e-21,0.0,0.0,0.0,1.88079096131566e-37
59,4.336808689942018e-21,4.470086782929614e-21,-9.842441837194985e-22,0.0,1.2739747331349397e-20,0.0,3.1290607480507297e-21,2.8604424143627703e-21,3.76158192263132e-37,0.0,0.0,0.0
60,2.168404344971009e-21,2.2350436842486057e-21,-4.9212223365874185e-22,0.0,6.369874500108525e-21,0.0,1.5645305789740238e-21,1.4302209944828961e-21,3.76158192263132e-37,0.0,0.0,4.70197740328915e-38
61,1.0842021724855045e-21,1.1175222031424946e-21,-2.4606122717627033e-22,0.0,3.1849382789561093e-21,0.0,7.822655421997462e-22,7.15110331721099e-22,0.0,0.0,0.0,0.0
